0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,Y
853,854,882,873,874,907,897,875,867,854,860,860,874,873,896,897,872,871,848,854,871,870,896,883,871,874,897,839,852,869,896,868,872,897,880,874,851,824,888,879,873,885,864,874,870,832,850,873,904,863,864,881,870,868,850,852,856,873,883,863,873,872,872,846,0
860,854,882,872,871,876,881,876,866,854,859,904,871,874,880,897,872,871,843,852,872,870,877,898,871,876,898,852,851,869,878,898,871,865,898,873,851,824,877,877,873,864,864,875,869,841,850,861,870,898,887,898,870,871,851,854,855,896,889,863,897,871,875,854,0
860,853,882,874,870,874,868,876,867,854,860,860,871,871,877,897,872,873,851,854,873,870,878,898,871,876,898,848,848,870,875,898,872,897,884,873,852,825,877,877,876,882,864,876,869,843,851,874,904,880,888,898,870,870,851,854,855,874,864,865,874,870,872,854,0
861,854,885,873,870,874,881,877,868,854,860,860,904,872,879,881,872,871,844,856,872,871,875,898,872,873,898,854,846,869,874,898,872,897,883,875,849,824,874,875,874,885,883,874,869,835,854,875,871,898,889,865,870,869,852,854,856,874,885,863,877,871,874,854,0
859,854,882,873,871,897,881,877,866,854,860,860,904,872,876,897,871,871,849,854,871,872,877,898,871,872,898,854,848,871,874,863,872,897,882,874,851,824,876,878,876,883,886,872,869,837,850,870,871,898,889,898,870,869,850,854,855,874,888,898,903,872,874,845,0
857,854,883,874,871,874,865,877,866,854,858,860,904,872,878,882,874,872,844,856,872,872,876,898,871,874,865,853,850,884,878,898,871,897,863,875,850,820,875,876,874,863,864,873,870,842,851,875,871,865,884,865,870,869,852,854,857,896,889,884,896,871,873,854,0
859,853,882,872,870,872,880,875,866,853,860,904,870,870,877,897,872,871,848,855,871,870,873,897,871,874,897,849,849,886,875,863,870,897,881,873,850,824,872,876,871,863,863,872,869,838,853,866,904,883,885,897,869,871,853,854,858,872,864,865,875,871,871,853,0
859,853,879,873,871,872,864,876,866,853,860,904,870,871,876,897,872,903,848,855,870,870,873,897,871,872,897,854,849,869,876,898,872,897,865,872,852,826,874,875,872,865,880,873,868,833,853,876,870,897,864,881,868,869,853,854,856,872,885,898,903,871,873,853,0
859,853,876,873,871,872,879,873,866,853,851,872,871,871,876,897,872,904,849,855,870,870,878,898,871,872,897,854,852,869,875,898,871,897,863,873,851,822,876,875,872,898,884,872,869,841,851,873,870,897,864,879,869,869,850,853,856,871,885,865,872,870,873,853,0
857,854,879,904,871,896,882,874,868,853,860,860,892,871,873,878,872,904,849,855,871,871,873,897,872,871,897,854,851,869,875,898,871,897,865,860,848,825,873,876,872,898,864,861,869,833,852,876,904,863,864,880,869,869,853,854,855,871,885,865,875,871,872,847,0
859,853,879,905,870,873,864,875,867,853,860,883,904,871,879,882,905,871,848,854,872,872,877,897,870,874,897,854,844,870,877,898,871,897,897,873,851,823,874,876,876,863,898,875,869,833,850,860,869,897,885,897,869,869,854,854,856,871,881,865,874,870,873,852,0
857,853,883,872,870,872,877,874,866,853,860,868,904,871,874,897,872,863,849,855,871,870,877,868,870,872,897,853,851,885,876,898,871,897,865,860,851,823,874,877,873,865,898,875,869,832,853,860,870,897,885,897,869,869,852,854,855,873,887,898,907,870,871,852,0
858,854,882,873,871,872,880,875,868,853,860,889,904,872,875,879,872,904,848,854,871,870,876,898,870,872,897,854,847,869,875,866,870,897,865,860,848,822,875,878,872,898,886,873,869,832,851,873,870,897,886,881,869,869,853,854,858,871,886,898,907,870,873,854,0
846,853,880,873,872,875,897,874,867,853,860,871,904,871,877,880,905,871,846,854,871,870,875,897,870,872,897,854,851,869,875,898,870,879,897,873,851,822,874,877,896,883,863,870,869,833,852,873,870,897,887,897,869,869,853,843,858,873,864,880,874,871,872,853,0
858,853,878,904,870,871,878,875,867,851,860,872,904,872,875,879,872,860,848,853,870,870,875,897,870,872,897,849,851,903,896,865,870,876,897,874,850,825,873,874,873,897,884,877,869,834,852,861,870,897,884,879,869,869,852,844,842,872,884,897,868,871,872,853,0
857,853,881,873,870,872,897,875,867,853,860,886,903,871,877,880,873,904,849,855,871,870,876,897,870,873,897,854,851,903,877,865,870,897,897,874,851,826,874,876,871,898,863,860,869,833,852,874,870,897,886,897,869,869,854,851,858,872,864,897,907,870,873,853,0
860,853,882,904,869,871,864,875,867,853,860,875,869,871,875,879,872,868,849,853,871,870,875,898,872,874,897,854,847,886,876,898,871,897,865,861,852,823,875,877,874,898,883,874,869,840,851,861,871,897,886,897,869,869,851,854,856,872,864,897,907,871,874,853,0
853,853,880,875,871,896,881,874,866,853,860,859,870,871,879,879,871,904,849,854,873,870,879,879,870,872,897,854,850,869,875,898,871,897,898,872,849,822,878,875,896,884,886,875,869,833,850,861,869,897,886,897,869,870,852,853,858,872,864,898,907,871,873,854,0
858,854,879,873,870,876,865,876,869,854,861,877,870,872,879,897,872,904,848,854,871,871,878,898,871,875,898,854,849,871,878,898,872,897,898,873,850,822,873,879,873,866,866,861,869,833,851,874,870,897,887,897,869,869,852,853,854,872,884,897,907,871,872,854,0
857,854,882,872,872,871,897,874,866,844,859,894,869,870,877,878,872,903,848,855,871,871,873,897,872,871,897,851,849,903,897,865,871,897,897,873,852,821,874,875,871,865,898,873,869,833,850,873,870,897,886,897,869,869,852,852,856,872,885,865,874,872,872,853,0
858,854,881,873,871,872,878,874,866,853,860,872,878,871,877,881,871,860,849,855,870,871,876,865,870,871,897,854,850,869,876,898,871,906,863,880,850,824,874,875,872,898,864,860,869,850,851,861,904,863,864,881,870,869,854,853,858,872,886,865,873,871,871,851,0
858,854,880,873,870,874,897,873,866,853,860,874,894,871,874,880,874,864,847,855,871,871,875,898,871,873,865,854,849,903,877,898,871,897,898,872,850,824,875,875,871,898,886,874,869,851,852,875,870,897,887,897,869,869,853,853,857,871,886,898,907,871,872,853,0
857,853,881,874,871,872,878,874,867,853,860,871,881,871,875,880,872,903,849,855,870,871,876,898,870,872,897,853,851,903,897,883,871,897,897,874,853,823,873,874,872,865,898,876,869,833,851,861,869,897,864,881,869,869,851,853,856,872,885,865,872,871,874,853,0
857,854,880,872,871,872,877,873,868,850,859,875,904,872,875,897,871,904,848,855,871,871,873,898,870,872,897,854,851,903,878,898,871,897,897,873,849,824,874,877,871,865,898,873,869,833,850,875,870,897,886,897,869,869,854,854,856,872,884,865,873,871,871,853,0
857,853,884,872,871,874,864,877,866,853,851,872,904,871,877,880,872,872,845,855,871,871,874,898,871,873,897,853,838,903,875,898,871,897,898,872,851,825,876,877,871,898,885,872,869,833,852,873,870,865,864,880,869,869,853,853,858,872,881,897,907,871,871,853,0
858,853,880,868,869,873,907,873,866,853,860,860,869,870,877,882,872,904,849,855,870,870,876,897,871,871,897,854,852,903,877,898,874,897,898,874,851,823,876,879,872,866,898,874,869,837,851,877,870,897,887,881,869,870,851,854,855,873,885,898,876,872,873,852,0
857,854,881,905,870,872,880,876,867,853,860,870,898,871,874,880,874,904,846,854,871,871,875,898,871,871,898,854,848,869,879,898,873,897,898,874,852,824,875,880,874,884,864,861,870,833,851,875,870,897,886,897,870,869,853,854,856,872,885,865,874,871,872,853,0
